The Elder Scrolls V: Skyrim,226936.10791366905
The Witcher 3: Wild Hunt,141802.0287769784
Stardew Valley,82748.05035971223
Mount & Blade: Warband,64296.97122302158
DARK SOULS: Prepare To Die Edition,60181.31654676259
Fallout: New Vegas,55508.06474820144
Fallout: New Vegas,46753.0
The Elder Scrolls V: Skyrim Special Edition,34770.87769784173
South Park: The Stick of Truth,33820.60431654676
The Witcher 2: Assassins of Kings Enhanced Edition,31117.776978417267
Darkest Dungeon,30315.143884892088
DARK SOULS II,29029.21582733813
Torchlight II,27010.712230215828
Divinity: Original Sin 2,23134.956834532375
The Elder Scrolls Online: Tamriel Unlimited,23052.93525179856
The Witcher: Enhanced Edition Director's Cut,21488.258992805757
DARK SOULS II: Scholar of the First Sin,20425.748201438848
Grim Dawn,20341.06474820144
Borderlands,19918.654676258993
Fallout 3: Game of the Year Edition,15870.071942446044
Hero Siege,13196.05035971223
The Elder Scrolls IV: Oblivion Game of the Year Edition,11344.302158273382
FINAL FANTASY VII,10671.359712230216
Divinity: Original Sin (Classic),10353.712230215828
STAR WARS - Knights of the Old Republic,10243.827338129497
Dragon's Dogma: Dark Arisen,10242.94964028777
Dungeon Defenders,10156.395683453238
Pillars of Eternity,9981.302158273382
Mass Effect 2,9599.618705035971
Child of Light,9216.942446043166
Mass Effect,8941.345323741007
The Banner Saga,8908.374100719424
Titan Quest Anniversary Edition,8425.690647482015
The Elder Scrolls III: Morrowind Game of the Year Edition,8112.474820143885
Dragon Age: Origins - Ultimate Edition,8063.654676258992
The Mighty Quest For Epic Loot,7718.0
Kingdoms of Amalur: Reckoning,7656.582733812949
Hand of Fate,7542.223021582734
Divinity: Original Sin - Enhanced Edition,7498.330935251798
Shadowrun Returns,7360.273381294964
STAR WARS Knights of the Old Republic II - The Sith Lords,7012.201438848921
LISA,6148.26618705036
Lords Of The Fallen,6016.676258992806
Wasteland 2: Director's Cut,5998.517985611511
Salt and Sanctuary,5546.942446043166
Lord of the Rings: War in the North,5518.330935251798
Magicite,5390.769784172662
UnEpic,5377.474820143885
Dragon Age: Origins,5324.374100719425
Fallout: A Post Nuclear Role Playing Game,5295.302158273381
Mount & Blade: With Fire & Sword,5262.553956834532
Vampire: The Masquerade - Bloodlines,5260.8705035971225
Deus Ex: Game of the Year Edition,5223.964028776978
ELEX,5138.46762589928
Shakes and Fidget,5088.705035971223
The Incredible Adventures of Van Helsing,4845.208633093525
FINAL FANTASY VIII,4834.410071942446
Tyranny,4645.3525179856115
Legend of Grimrock,4199.928057553957
E.Y.E: Divine Cybermancy,4154.258992805755
Evoland,4151.46762589928
Fable - The Lost Chapters,3960.7697841726617
Streets of Rogue,3911.2086330935253
System Shock 2,3867.928057553957
Enclave,3846.776978417266
Fallout 2: A Post Nuclear Role Playing Game,3810.7913669064747
Victor Vran ARPG,3725.6978417266187
Dark Messiah of Might & Magic,3659.4244604316546
Dark Messiah of Might & Magic,3658.5539568345325
Baldur's Gate: Enhanced Edition,3511.482014388489
Fable Anniversary,3479.7194244604316
Torchlight,3477.798561151079
Risen,3325.115107913669
One Way Heroics,3273.244604316547
RPG Maker VX Ace,3264.9928057553957
Home Behind,3238.2086330935253
South Park: The Fractured But Whole,3215.143884892086
Shadowrun: Dragonfall - Director's Cut,3073.798561151079
Overlord,3062.4892086330933
Secrets of Grindea,3034.9928057553957
Ascend: Hand of Kul,2960.0
Soda Dungeon,2954.115107913669
Gothic II: Gold Edition,2948.8992805755397
Space Rangers HD: A War Apart,2889.539568345324
Two Worlds II HD,2799.201438848921
Cthulhu Saves the World,2798.546762589928
Mount & Blade,2752.2877697841727
Alpha Protocol,2692.8705035971225
Dungeons 2,2686.6258992805756
Risen 2: Dark Waters,2684.63309352518
Confess My Love,2581.223021582734
Gothic 1,2579.7410071942445
CrossCode,2574.6978417266187
Defender's Quest: Valley of the Forgotten (DX edition),2517.122302158273
The Last Remnant,2463.8705035971225
Costume Quest,2438.0863309352517
Risen 3 - Titan Lords,2430.338129496403
Might & Magic: Heroes VI,2429.8705035971225
Evoland 2,2420.36690647482
Gothic 3,2355.3812949640287
