The Elder Scrolls V: Skyrim,14746.805755395684
The Elder Scrolls V: Skyrim Special Edition,13506.94964028777
The Elder Scrolls Online: Tamriel Unlimited,6851.035971223022
DARK SOULS: Prepare To Die Edition,5853.978417266187
Darkest Dungeon,4421.820143884892
Lords Of The Fallen,3920.0863309352517
The Witcher 2: Assassins of Kings Enhanced Edition,3896.4244604316546
The Mighty Quest For Epic Loot,3829.0
DARK SOULS II,3656.5971223021584
Fallout 3: Game of the Year Edition,3603.0071942446043
The Witcher: Enhanced Edition Director's Cut,3384.093525179856
Hero Siege,3306.539568345324
The Witcher 3: Wild Hunt,3231.388489208633
DARK SOULS II: Scholar of the First Sin,2943.8992805755397
Fallout: New Vegas,2567.7625899280574
Might & Magic: Heroes VI,2532.26618705036
Fallout: New Vegas,2153.0
Stardew Valley,2139.1582733812947
Deus Ex: The Fall,1914.6402877697842
Two Worlds II HD,1912.1654676258993
BioShock 2 Remastered,1808.9064748201438
Grim Dawn,1776.2805755395684
Mount & Blade: Warband,1762.5107913669065
Lord of the Rings: War in the North,1610.928057553957
Pillars of Eternity,1527.3021582733813
Sword Coast Legends,1473.4460431654677
Torchlight II,1469.021582733813
South Park: The Fractured But Whole,1361.2877697841727
Ascend: Hand of Kul,1346.0
ELEX,1345.410071942446
STAR WARS - Knights of the Old Republic,1333.4244604316548
Borderlands,1313.2805755395684
Divinity: Original Sin 2,1287.928057553957
Wasteland 2: Director's Cut,1253.3812949640287
Dragon's Dogma: Dark Arisen,1205.7122302158273
Enclave,1049.6690647482014
Kingdoms of Amalur: Reckoning,1047.5971223021584
Ragnarok Online 2,1019.3453237410072
Fable Anniversary,1000.3597122302158
The Banner Saga,998.9712230215828
Risen 3 - Titan Lords,992.5611510791367
The Incredible Adventures of Van Helsing,973.7841726618705
Two Worlds Epic Edition,967.0863309352518
FINAL FANTASY XIII-2,966.2877697841726
Vikings - Wolves of Midgard,959.4532374100719
MOBIUS FINAL FANTASY,932.6762589928057
Divinity: Original Sin (Classic),925.9064748201439
Lichdom: Battlemage,918.6546762589928
Blackguards,908.7122302158274
Shadowrun Returns,889.863309352518
Dungeon Defenders,876.8489208633093
Bound By Flame,859.4748201438849
STAR WARS Knights of the Old Republic II - The Sith Lords,855.1726618705036
FINAL FANTASY TYPE-0 HD,854.2589928057554
Magicite,846.6618705035971
Mount & Blade: With Fire & Sword,845.6618705035971
Evoland,831.2374100719425
E.Y.E: Divine Cybermancy,830.8561151079136
South Park: The Stick of Truth,818.4748201438849
Shakes and Fidget,800.4532374100719
Risen 2: Dark Waters,773.6402877697842
Divinity: Original Sin - Enhanced Edition,770.4532374100719
Torment: Tides of Numenera,740.2158273381295
FINAL FANTASY VII,737.8345323741007
Might & Magic X - Legacy,721.6618705035971
Dungeons 2,691.5611510791367
Child of Light,689.9424460431654
Tyranny,664.7697841726618
Hand of Fate,664.0143884892086
Titan Quest Anniversary Edition,660.9640287769785
ArcaniA,642.705035971223
Echo of Soul,631.8057553956835
The Elder Scrolls IV: Oblivion Game of the Year Edition,626.6402877697842
Alpha Protocol,613.115107913669
Dungeon Siege III,611.589928057554
Baldur's Gate: Enhanced Edition,607.0575539568346
Shroud of the Avatar: Forsaken Virtues,599.956834532374
The Last Remnant,594.1223021582733
The Surge,589.0215827338129
The Incredible Adventures of Van Helsing II,582.6258992805756
FORCED: Slightly Better Edition,574.0071942446043
Dragon Age: Origins - Ultimate Edition,557.2877697841726
Game of Thrones,555.9064748201439
FINAL FANTASY VIII,542.6187050359712
Gothic 3,539.0863309352518
Mass Effect,539.0287769784172
Exanima,526.0863309352518
Wurm Unlimited,518.7338129496403
Roguelands,513.3381294964029
Dungeons & Dragons Online,493.6546762589928
Risen,476.45323741007195
Fallout: A Post Nuclear Role Playing Game,474.49640287769785
Mars: War Logs,464.71223021582733
The Technomancer,461.28776978417267
Victor Vran ARPG,459.431654676259
LIGHTNING RETURNS: FINAL FANTASY XIII,454.9064748201439
Dead Age,441.2014388489209
(Tale of Wuxia),439.7985611510791
Iesabel,434.75539568345323
Guardians of Ember,423.0120481927711
