The Witcher 3: Wild Hunt,43.8826929199422
South Park: The Stick of Truth,41.321496378595036
Stardew Valley,38.68252825861043
Mount & Blade: Warband,36.480327688181916
Mass Effect 2,23.269976631439434
Tales of Maj'Eyal,22.19106767121428
LISA,22.141850402881055
Fallout: New Vegas,21.715281003251278
Fallout: New Vegas,21.61728851644211
Space Rangers HD: A War Apart,20.709807156852637
Vanishing Realms,20.00408631443114
Deus Ex: Game of the Year Edition,19.442820039092833
The Elder Scrolls III: Morrowind Game of the Year Edition,19.352875555631833
Streets of Rogue,18.96657828635222
Vampire: The Masquerade - Bloodlines,18.757496473002437
Torchlight II,18.386872288118163
Secrets of Grindea,18.385078009239084
The Elder Scrolls IV: Oblivion Game of the Year Edition,18.103371870084842
Divinity: Original Sin 2,17.962926344248192
Legend of Grimrock,17.86984603140592
Confess My Love,17.724151558563456
One Way Heroics,17.646550052360084
Fallout 2: A Post Nuclear Role Playing Game,16.84850027036483
Mass Effect,16.58788121454788
Dark Messiah of Might & Magic,16.41560411891927
Dark Messiah of Might & Magic,16.40838709677419
System Shock 2,15.888235467951182
RPG Maker VX Ace,15.394640434192674
The Elder Scrolls V: Skyrim,15.388831430876872
Borderlands,15.167097608274078
Soda Dungeon,14.55332270069112
Dragon Age: Origins - Ultimate Edition,14.469462840323768
FINAL FANTASY VII,14.463079788219465
Chroma Squad,14.429436026181296
UnEpic,14.3735746014653
Dragon Age: Origins,14.286034166586237
Torchlight,13.786225581063738
Salt and Sanctuary,13.5722332728969
Overlord,13.409967237903224
Child of Light,13.359001897770641
Fable - The Lost Chapters,13.09890554365929
Cthulhu Saves the World,13.062390866353258
Titan Quest Anniversary Edition,12.747578204932843
Costume Quest,12.587527392935408
Dungeon Defenders,11.582834216701402
Grim Dawn,11.451493096479183
Mount & Blade,11.393412353326584
Hand of Fate,11.358523478298554
Titan Quest: Immortal Throne,11.243093922651934
The Banner Saga 2,11.186776558996424
Divinity: Original Sin (Classic),11.182244116207334
Fallout: A Post Nuclear Role Playing Game,11.159836251989992
Thea: The Awakening,10.476009434294363
King's Bounty: The Legend,10.472984036021284
DARK SOULS: Prepare To Die Edition,10.2804131237073
Legend of Grimrock 2,9.99321735131821
Shadowrun: Dragonfall - Director's Cut,9.98009857279671
Divinity: Original Sin - Enhanced Edition,9.732363459796625
Battle Chasers: Nightwar,9.60362286682535
The Banner Saga,8.91754826908258
FINAL FANTASY VIII,8.90940549427238
Dragon's Dogma: Dark Arisen,8.495351862238506
Shadowrun Returns,8.271240429780663
STAR WARS Knights of the Old Republic II - The Sith Lords,8.199749303855505
Gothic II: Gold Edition,8.11661155224649
Victor Vran ARPG,8.109362521726876
Divine Divinity,8.023940688874015
The Witcher 2: Assassins of Kings Enhanced Edition,7.986238997937604
DARK SOULS II,7.938860874304253
Atelier Sophie: The Alchemist of the Mysterious Book,7.856075248035047
Disgaea PC /  PC,7.841189958607546
Home Behind,7.755720587221725
Barony,7.71929467616141
STAR WARS - Knights of the Old Republic,7.6823454512101685
Heroine's Quest: The Herald of Ragnarok,7.319782624038393
Kingdoms of Amalur: Reckoning,7.308709207779364
Star Trek: Bridge Crew,7.172757889484845
Overlord II,7.144551857872075
Skyborn,7.077089683940317
Half Minute Hero: Super Mega Neo Climax Ultimate Boy,7.026276104738838
Tyranny,6.98791164789022
Risen,6.978890784725262
DARK SOULS II: Scholar of the First Sin,6.9383311909521455
Evoland 2,6.9110723089564505
Darkest Dungeon,6.855806635829837
Crashlands,6.792459138187222
Sword of the Stars: The Pit,6.712020313323432
UnderRail,6.667152594460422
Pillars of Eternity,6.5352504769306865
Gothic 1,6.52279259286208
FNaF World,6.367231638418079
Magicite,6.367086994204919
Shakes and Fidget,6.357279598788456
The Witcher: Enhanced Edition Director's Cut,6.349782839309594
Dex,6.315402429610369
Runestone Keeper,6.279026217228464
Before the Echo,6.277436310457377
Stories: The Path of Destinies,6.269429837273819
Mount & Blade: With Fire & Sword,6.223000161637472
Shadowrun: Hong Kong - Extended Edition,6.219993887099429
