Chucklefish,33.43414687774846
TaleWorlds Entertainment,25.378129602356406
Runic Games,17.876784372652143
Electronic Arts,17.148939064200217
AGM PLAYISM,16.237068965517242
"XSEED Games, Marvelous USA, Inc.",15.403409090909092
Nightdive Studios,15.01352493660186
Almost Human Games,14.724861196792103
2K Games,13.978120516499283
tinyBuild,13.596256684491978
Behold Studios,13.43362831858407
Larian Studios,11.95437653198387
Armor Games Studios,11.315369261477047
Activision,11.174519230769231
BANDAI NAMCO Entertainment,9.78956761580271
Zeboyd Games,9.593446601941748
Bethesda Softworks,8.904880833021272
Hosted Games,8.638636363636364
Codemasters,8.585447761194029
Ubisoft,8.385998920841743
Harebrained Holdings,8.309734513274336
Marvelous,8.187845303867404
Spiderweb Software,7.998762376237623
Versus Evil,7.621414913957935
"BANDAI NAMCO Entertainment, FromSoftware, Inc",7.5253661810572865
Coconut Island Games,7.495689655172414
Degica,7.221199619168518
"CD PROJEKT RED, 1C-SoftClub",7.215827855013112
"NIS America, Inc.",6.8083907326236695
WildTangent,6.65625
