publisher,players_2weeks
Bethesda Softworks,1219909.375
CD PROJEKT RED,432455.25
Chucklefish,338272.0
Larian Studios,303013.0
TaleWorlds Entertainment,264439.25
THQ Nordic,240347.75
Ubisoft,143174.875
Red Hook Studios,138283.25
New Reality Games,124837.25
Crate Entertainment,121518.75
"CD PROJEKT RED, 1C-SoftClub",92281.25
BANDAI NAMCO Entertainment,91058.0
Paradox Interactive,86826.25
"BANDAI NAMCO Entertainment, FromSoftware, Inc",81949.0
2K Games,61268.75
Runic Games,58087.0
Square Enix,56545.75
Topware Interactive,51327.25
Electronic Arts,46377.75
Playa Games GmbH,41757.0
Defiant Development,34764.0
TopWare Interactive,34626.25
Beamdog,30677.0
Back To Basics Gaming,30455.25
"SQUARE ENIX CO., LTD.",28631.5
"LucasArts, Aspyr (Mac), Disney Interactive, Lucasfilm",28310.25
Capcom,27766.25
Panic Art Studios,27608.0
"NIS America, Inc.",26993.0
"LucasArts, Disney Interactive, Lucasfilm, Aspyr (Mac, Linux)",26786.75
